Date,ID,tank,SDR_position,number_indivs,b1.Lz,b1.Leq,b1.Lpc,ci.Lz,ci.Leq,ci.Lpc,alpha,Notes
20180722,H2_T_A2,H2_T,A2,NA,-1.661036052,-1.661036052,-2.003010357,0.13249778,0.13249778,0.080995376,0.2,
20180722,H2_T_A3,H2_T,A3,NA,-1.500010462,-1.500010462,-1.715154346,0.101162819,0.101162819,0.058742364,0.2,
20180722,H3_T_A4,H3_T,A4,NA,-2.459030204,-2.456021331,-2.386511684,0.115713404,0.085319689,0.072128765,0.2,
20180722,H3_T_A5,H3_T,A5,NA,-3.540855684,-3.540855684,-3.529737832,0.084581642,0.084581642,0.091877393,0.2,
20180722,H3_T_A6,H3_T,A6,NA,-5.552008899,-5.552008899,-2.255571409,0.141673239,0.141673239,0.062392011,0.2,
20180722,H2_B_B1,H2_B,B1,NA,-1.676320934,-1.676320934,-1.618548887,0.119880548,0.119880548,0.092167789,0.2,
20180722,H2_B_B2,H2_B,B2,NA,-2.659229325,-1.827926058,-2.615232379,0.099860791,0.12098551,0.087322261,0.2,
20180722,H2_B_B3,H2_B,B3,NA,-3.339181202,-3.339181202,-2.159598637,0.239529904,0.239529904,0.073573986,0.2,
20180722,H3_B_B4,H3_B,B4,NA,-1.424455595,-1.424455595,-1.702641816,0.181038302,0.181038302,0.111023716,0.2,CHECK THIS
20180722,H3_B_B5,H3_B,B5,NA,-1.415860792,-1.415860792,-3.742702611,0.103301257,0.103301257,0.09031249,0.3,
20180722,H3_B_B6,H3_B,B6,NA,-2.420123311,-2.420123311,-2.637460216,0.154327061,0.154327061,0.141185357,0.5,
20180722,H2_T_blank_C1,H2_T_blank,C1,NA,-0.842275592,-0.842275592,-0.897057265,0.085980861,0.085980861,0.039805538,0.2,CHECK THIS
20180722,H2_T_blank_C2,H2_T_blank,C2,NA,-1.020678436,-1.026574779,-1.123642301,0.1339057,0.080214618,0.031851154,0.2,
20180722,H2_T_blank_C3,H2_T_blank,C3,NA,-1.122237753,-1.122237753,-1.072177822,0.066335114,0.066335114,0.033035244,0.2,
20180722,H3_T_blank_C4,H3_T_blank,C4,NA,-0.854143168,-0.854143168,-0.808901185,0.084276908,0.084276908,0.033666676,0.2,
20180722,H3_T_blank_C5,H3_T_blank,C5,NA,-1.680194255,-1.680194255,-1.091531473,0.103412819,0.103412819,0.048602317,0.2,CHECK THIS
20180722,H3_T_blank_C6,H3_T_blank,C6,NA,-0.944150363,-0.949246622,-0.869359776,0.101827417,0.092722552,0.047145277,0.2,CHECK THIS
20180722,H2_B_blank_D1,H2_B_blank,D1,NA,-1.412789652,-1.412789652,-0.912548427,0.073867186,0.073867186,0.052502188,0.3, Leq closest to peak density
20180722,H2_B_blank_D2,H2_B_blank,D2,NA,-1.182139662,-1.182139662,-1.57922423,0.121135854,0.121135854,0.049609588,0.2,
20180722,H2_B_blank_D3,H2_B_blank,D3,NA,-1.444705174,-1.47274053,-1.214721319,0.11334658,0.076902077,0.046753392,0.2, Leq closest to peak density
20180722,H3_B_blank_D4,H3_B_blank,D4,NA,-1.542911291,-1.504492681,-1.214820557,0.121022153,0.072025648,0.047686174,0.2, Leq closest to peak density
20180722,H3_B_blank_D5,H3_B_blank,D5,NA,-1.250423473,-1.189118907,-1.189118907,0.082726273,0.051227384,0.051227384,0.2,CHECK THIS
20180722,H3_B_blank_D6,H3_B_blank,D6,NA,-0.875397973,-1.511054734,-0.92126711,0.381612878,0.096893815,0.065844186,0.1, Leq closest to peak density
20180716,H0_T_A1,H0_T,A1,NA,-1.671929037,-1.671929037,-2.867505792,0.173370431,0.173370431,0.148791376,0.1,REDONE
20180716,H0_T_A3,H0_T,A3,NA,-1.075957086,-1.075957086,-3.585002829,0.207299293,0.207299293,0.141589687,0.1,REDONE CHECK THIS
20180716,H1_T_A6,H1_T,A6,NA,-4.106829883,-4.106829883,-4.011165217,0.107009519,0.107009519,0.106661117,0.3,REDONE 
20180716,H0_B_B1,H0_B,B1,NA,-2.348028421,-2.348028421,-1.370412518,0.124517909,0.124517909,0.071580669,0.3, REDONE Leq closest to peak density
20180716,H0_B_B2,H0_B,B2,NA,-2.225663735,-2.190746821,-2.232959503,0.088355138,0.076495694,0.102233571,0.3,REDONE 
20180716,H2_T_A2,H2_T,A2,NA,-2.80488321,-2.80488321,-3.157102856,0.234147709,0.234147709,0.12951493,0.4,REDONE 
20180719,H1_T_A5,H1_T,A5,NA,-1.627156863,-1.627156863,-5.132592912,0.238302033,0.238302033,0.122103547,0.1,good - first peak Lpc from start of trial
20180722,H1_T_A6,H1_T,A6,NA,-2.381186813,-2.381186813,-3.108067029,0.336122383,0.336122383,0.114424033,0.1,"good - Leq on the peak density, three peaks, slower is strongest"
20180722,H1_B_B6,H1_B,B6,NA,-2.965115287,-3.326254047,-2.858136646,0.351472517,0.352139592,0.206101132,0.1,good - on strongest/later peak - 20-25mins
20180722,H1_B_blank_D4,H1_B_blank,D4,NA,-1.126368952,-1.208189563,-0.964539508,0.122010858,0.196687777,0.085610582,0.3,Leq on peak
